"station_id","stationname","date","daytype","rides"
40890,"O'Hare Airport","01/24/2018","W",8514
40350,"UIC-Halsted","01/09/2018","W",3019
41300,"Loyola","02/07/2018","W",5332
41300,"Loyola","03/18/2018","U",3205
40350,"UIC-Halsted","03/13/2018","W",7299
41300,"Loyola","01/12/2018","W",3727
40890,"O'Hare Airport","02/13/2018","W",8877
40350,"UIC-Halsted","02/17/2018","A",1976
40890,"O'Hare Airport","01/26/2018","W",10158
40890,"O'Hare Airport","01/31/2018","W",8292
41300,"Loyola","01/20/2018","A",4664
41300,"Loyola","03/29/2018","W",5547
40890,"O'Hare Airport","02/18/2018","U",8744
40350,"UIC-Halsted","02/27/2018","W",7262
40350,"UIC-Halsted","01/12/2018","W",2845
40350,"UIC-Halsted","02/23/2018","W",7036
40350,"UIC-Halsted","01/28/2018","U",1276
41300,"Loyola","02/28/2018","W",5392
40350,"UIC-Halsted","01/31/2018","W",7657
41300,"Loyola","01/02/2018","W",2865
40350,"UIC-Halsted","01/29/2018","W",7366
40350,"UIC-Halsted","01/19/2018","W",7238
40350,"UIC-Halsted","01/04/2018","W",2293
41300,"Loyola","02/23/2018","W",6002
41300,"Loyola","01/03/2018","W",3314
40350,"UIC-Halsted","03/24/2018","A",1921
40350,"UIC-Halsted","01/02/2018","W",1936
40350,"UIC-Halsted","01/27/2018","A",2073
40350,"UIC-Halsted","01/05/2018","W",2209
40890,"O'Hare Airport","01/23/2018","W",8749
40350,"UIC-Halsted","01/17/2018","W",7635
40890,"O'Hare Airport","01/10/2018","W",8923
40350,"UIC-Halsted","03/26/2018","W",3007
40890,"O'Hare Airport","01/29/2018","W",9483
40890,"O'Hare Airport","01/13/2018","A",6421
41300,"Loyola","01/04/2018","W",3182
40890,"O'Hare Airport","02/02/2018","W",9315
40890,"O'Hare Airport","03/18/2018","U",9202
41300,"Loyola","01/01/2018","U",1430
40350,"UIC-Halsted","02/11/2018","U",1231
40890,"O'Hare Airport","01/21/2018","U",6741
40890,"O'Hare Airport","01/09/2018","W",8685
41300,"Loyola","03/04/2018","U",2449
40350,"UIC-Halsted","03/16/2018","W",7166
40350,"UIC-Halsted","03/06/2018","W",7222
40350,"UIC-Halsted","01/24/2018","W",7619
40350,"UIC-Halsted","01/01/2018","U",657
41300,"Loyola","01/11/2018","W",3894
41300,"Loyola","01/17/2018","W",5514
40890,"O'Hare Airport","02/15/2018","W",10019
40890,"O'Hare Airport","02/11/2018","U",8159
40890,"O'Hare Airport","03/25/2018","U",10450
41300,"Loyola","02/27/2018","W",5246
40890,"O'Hare Airport","02/05/2018","W",9604
41300,"Loyola","03/06/2018","W",4276
40890,"O'Hare Airport","01/17/2018","W",6762
40350,"UIC-Halsted","01/06/2018","A",998
41300,"Loyola","03/05/2018","W",4035
41300,"Loyola","02/04/2018","U",2555
41300,"Loyola","03/23/2018","W",5770
40350,"UIC-Halsted","02/16/2018","W",7284
40350,"UIC-Halsted","02/06/2018","W",7290
41300,"Loyola","01/22/2018","W",5394
40350,"UIC-Halsted","01/11/2018","W",3024
40890,"O'Hare Airport","01/20/2018","A",6382
41300,"Loyola","05/09/2018","W",4735
40350,"UIC-Halsted","04/25/2018","W",7331
41300,"Loyola","06/23/2018","A",3500
40890,"O'Hare Airport","06/02/2018","A",9591
41300,"Loyola","06/18/2018","W",4343
41300,"Loyola","04/16/2018","W",4996
41300,"Loyola","04/22/2018","U",2949
40890,"O'Hare Airport","04/29/2018","U",10743
41300,"Loyola","05/13/2018","U",2250
40350,"UIC-Halsted","05/20/2018","U",1094
40890,"O'Hare Airport","05/03/2018","W",11522
41300,"Loyola","06/03/2018","U",2571
40890,"O'Hare Airport","05/22/2018","W",12230
41300,"Loyola","05/10/2018","W",4690
40350,"UIC-Halsted","06/04/2018","W",3195
40350,"UIC-Halsted","04/11/2018","W",7308
41300,"Loyola","06/25/2018","W",4492
40890,"O'Hare Airport","04/13/2018","W",12541
40890,"O'Hare Airport","04/10/2018","W",9615
41300,"Loyola","05/29/2018","W",4291
41300,"Loyola","04/15/2018","U",2629
41300,"Loyola","04/26/2018","W",5435
40350,"UIC-Halsted","04/12/2018","W",7150
41300,"Loyola","04/08/2018","U",2987
41300,"Loyola","05/26/2018","A",3509
40350,"UIC-Halsted","06/21/2018","W",3480
41300,"Loyola","04/06/2018","W",5777
40350,"UIC-Halsted","05/18/2018","W",3089
41300,"Loyola","06/08/2018","W",4596
40350,"UIC-Halsted","04/24/2018","W",7052
40350,"UIC-Halsted","04/06/2018","W",6692
40890,"O'Hare Airport","06/26/2018","W",10379
40890,"O'Hare Airport","06/10/2018","U",11186
40350,"UIC-Halsted","06/27/2018","W",3990
41300,"Loyola","05/12/2018","A",2927
40350,"UIC-Halsted","06/08/2018","W",3605
40890,"O'Hare Airport","06/15/2018","W",13196
41300,"Loyola","05/15/2018","W",4168
40350,"UIC-Halsted","04/04/2018","W",7153
41300,"Loyola","04/12/2018","W",5521
41300,"Loyola","05/27/2018","U",2892
40890,"O'Hare Airport","06/18/2018","W",11552
41300,"Loyola","05/25/2018","W",4488
40350,"UIC-Halsted","06/20/2018","W",3986
40350,"UIC-Halsted","06/11/2018","W",3310
40890,"O'Hare Airport","04/19/2018","W",11526
40890,"O'Hare Airport","04/03/2018","W",9722
41300,"Loyola","05/28/2018","U",2457
40890,"O'Hare Airport","06/01/2018","W",13254
40350,"UIC-Halsted","04/14/2018","A",1999
40890,"O'Hare Airport","04/25/2018","W",10580
40350,"UIC-Halsted","04/08/2018","U",1391
40890,"O'Hare Airport","06/19/2018","W",11218
41300,"Loyola","04/07/2018","A",4407
40890,"O'Hare Airport","04/02/2018","W",10453
40350,"UIC-Halsted","04/16/2018","W",6789
40350,"UIC-Halsted","06/15/2018","W",3401
41300,"Loyola","04/17/2018","W",5355
40890,"O'Hare Airport","05/19/2018","A",9938
41300,"Loyola","04/19/2018","W",5348
40350,"UIC-Halsted","06/22/2018","W",3429
40350,"UIC-Halsted","06/09/2018","A",1837
40890,"O'Hare Airport","05/01/2018","W",10199
41300,"Loyola","06/21/2018","W",4382
41300,"Loyola","04/14/2018","A",3815
41300,"Loyola","06/04/2018","W",4245
40890,"O'Hare Airport","04/27/2018","W",12837
40890,"O'Hare Airport","04/14/2018","A",8719
40350,"UIC-Halsted","06/12/2018","W",3688
41300,"Loyola","04/03/2018","W",5015
40890,"O'Hare Airport","05/23/2018","W",12205
41300,"Loyola","06/22/2018","W",4499
41300,"Loyola","04/01/2018","U",2124
41300,"Loyola","04/11/2018","W",5677
40890,"O'Hare Airport","05/11/2018","W",12947
40350,"UIC-Halsted","05/11/2018","W",5355
40890,"O'Hare Airport","06/12/2018","W",11582
40890,"O'Hare Airport","06/29/2018","W",14387
40350,"UIC-Halsted","05/10/2018","W",5448
40890,"O'Hare Airport","06/06/2018","W",12245
41300,"Loyola","05/18/2018","W",4439
40890,"O'Hare Airport","04/08/2018","U",8961
40350,"UIC-Halsted","05/29/2018","W",3224
41300,"Loyola","04/24/2018","W",5260
40350,"UIC-Halsted","06/02/2018","A",1499
40350,"UIC-Halsted","05/21/2018","W",3177
41300,"Loyola","06/15/2018","W",4794
40350,"UIC-Halsted","04/05/2018","W",6915
40350,"UIC-Halsted","04/26/2018","W",7155
